datetime,ghi,GHI_pred_MLP
2023-12-08 18:00:00,307.08238420653,249.31143745268443
2023-12-08 19:00:00,90.25626423690206,129.4302195454253
2023-12-08 20:00:00,8.81874389847055,50.802809643619625
2023-12-09 06:00:00,15.90289874491938,54.57499232113905
2023-12-09 07:00:00,95.22399392558846,207.27433101793733
2023-12-09 08:00:00,205.4631738800304,343.94570100859113
2023-12-09 09:00:00,347.291192103265,500.59003132326296
2023-12-09 10:00:00,365.4422930903569,365.0655417767449
2023-12-09 11:00:00,175.1727410782081,350.4814609841203
2023-12-09 12:00:00,155.8523158694001,318.14892904038913
2023-12-09 13:00:00,210.4479878511769,208.89485523964737
2023-12-09 14:00:00,230.1556567957479,190.93216726583188
2023-12-09 15:00:00,113.9009111617312,208.8829649118715
2023-12-09 16:00:00,67.77334851936219,343.9946635038046
2023-12-09 17:00:00,91.58314350797266,308.1041585735466
2023-12-09 18:00:00,127.2949886104784,217.84213391621347
2023-12-09 19:00:00,84.28246013667426,118.67325239405352
2023-12-09 20:00:00,16.10803774812886,36.2201593007952
2023-12-10 06:00:00,64.34624145785878,37.29433393258485
2023-12-10 07:00:00,241.9703872437358,214.10700707207582
2023-12-10 08:00:00,474.3470007593015,352.00783330272964
2023-12-10 09:00:00,696.2015945330296,513.1352785368528
2023-12-10 10:00:00,884.3147304479879,651.4458535447715
2023-12-10 11:00:00,1020.387243735763,746.8025783641187
2023-12-10 12:00:00,1102.012148823083,799.5425930801896
2023-12-10 13:00:00,1112.490508731967,802.5077443596323
2023-12-10 14:00:00,1047.873955960516,755.5178803780806
2023-12-10 15:00:00,930.7630979498862,660.2566762228652
2023-12-10 16:00:00,754.9962034927867,545.5859943105362
2023-12-10 17:00:00,543.0410022779043,417.6364340232338
2023-12-10 18:00:00,312.6442672741078,289.72298514141676
2023-12-10 19:00:00,94.70197418375095,170.07466906272208
2023-12-10 20:00:00,9.296697038724375,83.7826266552272
2023-12-08 09:00:00,648.4700075930144,513.0896435443889
2023-12-08 10:00:00,713.9825360668186,649.9534939886415
2023-12-08 11:00:00,944.7456340167047,747.4553036700761
2023-12-08 12:00:00,806.5451784358391,799.6075939878874
2023-12-08 13:00:00,1049.762718299165,804.4402452007514
2023-12-08 14:00:00,1078.982536066819,761.0831232246022
2023-12-08 15:00:00,796.9324221716021,670.0296489654124
2023-12-08 16:00:00,687.5987091875475,531.382574101315
2023-12-08 17:00:00,534.5918754745634,382.68274927072605
2023-12-08 18:00:00,307.08238420653,248.83901446054384
2023-12-08 19:00:00,90.25626423690206,129.28058791523944
2023-12-08 20:00:00,8.81874389847055,58.88376730810735
2023-12-09 06:00:00,15.90289874491938,63.41497812429266
2023-12-09 07:00:00,95.22399392558846,209.30985379774748
